ERROR NR.:      1581; MESS:Field KBM_MAAR does not accept null values.; CODE:Append from dbf(lcCursor); PROC:dbreq; LINE:        78; ALIAS:V_ARVREAD recno: 1; VERSIA:; KPV:01.07.2019 11:25:26;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:01.07.2019 11:30:36;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:01.07.2019 11:32:11;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:01.07.2019 11:36:13;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:01.07.2019 11:36:43;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:01.07.2019 11:36:47;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:01.07.2019 11:45:47;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:44:59;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:02.07.2019 10:46:20;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:02.07.2019 10:46:31;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:02.07.2019 10:46:33;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:02.07.2019 10:46:37;
ERROR NR.:        11; MESS:Function argument value, type, or count is invalid.; CODE:If file(cFail); PROC:init; LINE:        36; ALIAS:V_FORMAT recno: 1; VERSIA:; KPV:02.07.2019 10:46:59;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:47:00;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:47:00;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:47:00;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:47:00;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:49:56;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:02.07.2019 10:50:53;
