ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        53; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        54; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        55; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        56; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        57; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        59; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        67; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        76; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        80; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        82; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        83; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:12:52;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        43; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        49; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        50; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        51; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        52; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        53; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        54; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        55; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        56; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        57; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        59; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        67; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        76; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:        11; MESS:Недопустимое значение, тип или число аргументов функции.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        80; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
; PROC:readstring; LINE:        82; ALIAS:REPOSIT recno: 2176; VERSIA:EELARVE.EXE28.01.201413:15:18; KPV:31.01.2014 13:13:08;ERROR NR.:       107; MESS:Несовпадение типа оператора и операнда.; CODE:SELECT curPalkJaak
